player,indoors,total_points_won,winners,forehand_winner,backhand_winner,errors_forced,unforced_errors,unforced_errors_forehand,unforced_errors_backhand,forced_errors_by_opponent,break_points_total,break_points_won,aces,double_faults,total_serves,first_serves_in,first_serve_in_percentage,first_serves_won,first_serves_won_percentage,total_second_serves,second_serves_in,second_serves_in_percentage,second_serves_won,second_serves_won_percentage,first_serve_returns,first_serve_returns_percentage,second_serve_returns,second_serve_returns_percentage,short_rallies_won,short_rallies_won_percentage,medium_rallies_won,medium_rallies_won_percentage,long_rallies_won,long_rallies_won_percentage,service_games_total,service_games_won,service_games_won_percentage,unforced_errors_net,unforced_errors_long,forced_errors_by_opponent_net,forced_errors_by_opponent_long,double_faults_error_net,double_faults_error_long,aggressive_error_margin_1,aggressive_error_margin_2,first_serve_performance
Abigail Rencheli,0.29,62.64,16.79,6.71,4.86,7.57,34.36,17.79,14.71,5.0,9.43,5.86,0.79,4.14,56.29,30.57,0.55,19.93,0.65,25.71,21.57,0.84,11.5,0.46,25.93,0.77,16.93,0.79,38.36,0.52,14.29,0.57,10.0,0.7,7.21,5.29,0.77,12.43,21.93,2.21,2.79,1.57,2.57,-10.0,25.14,10.96
Adriana Reami,0.48,60.8,12.43,6.32,2.05,7.36,28.41,15.25,10.45,5.93,9.5,5.11,1.82,1.86,54.3,31.36,0.58,21.05,0.68,22.93,21.07,0.92,11.32,0.51,29.07,0.83,15.25,0.9,34.64,0.59,16.05,0.55,10.11,0.55,6.66,5.3,0.82,11.82,16.59,3.8,2.14,0.45,1.41,-8.61,21.61,12.41
Alana Smith,0.43,66.76,16.32,7.81,3.68,6.57,33.05,17.41,13.16,5.27,9.68,4.97,3.84,2.43,60.27,34.46,0.57,23.46,0.7,25.81,23.38,0.9,13.78,0.54,31.65,0.82,15.24,0.82,43.81,0.58,15.81,0.52,7.14,0.53,7.11,6.03,0.87,16.81,16.24,3.35,1.92,1.19,1.24,-10.16,26.73,13.52
Amanda Rebol,0.46,61.15,12.62,3.54,3.0,2.85,28.69,12.0,14.0,2.08,10.08,5.38,0.31,6.08,57.85,39.15,0.68,24.0,0.61,18.69,12.62,0.68,6.46,0.35,34.46,0.89,14.0,0.9,28.0,0.49,19.31,0.57,13.85,0.51,8.0,4.92,0.64,13.23,15.46,1.0,1.08,2.92,3.15,-13.23,15.77,16.3
Amelia Rajecki,0.62,74.38,15.0,8.25,1.38,11.25,51.12,32.38,16.88,8.0,9.88,4.38,3.62,6.75,77.88,44.62,0.57,29.75,0.67,33.25,26.5,0.79,14.12,0.44,36.62,0.76,20.62,0.81,44.12,0.47,17.12,0.49,13.12,0.57,8.0,6.25,0.82,19.25,31.88,3.75,4.25,3.38,3.38,-24.88,29.88,17.17
Anna Rogers,0.44,59.87,13.72,4.33,2.79,5.38,32.28,15.33,14.74,4.26,8.38,4.69,2.97,1.97,54.72,33.33,0.61,22.44,0.68,21.38,19.41,0.91,11.0,0.53,30.38,0.85,13.21,0.85,34.56,0.58,15.05,0.52,10.26,0.56,7.0,5.44,0.8,14.38,17.9,2.23,2.03,0.95,1.03,-13.18,22.08,13.84
Bianca Moldovan,0.6,59.3,13.3,3.9,4.1,3.1,27.9,15.1,10.7,2.0,9.6,4.9,3.1,2.0,50.2,30.4,0.6,22.6,0.75,19.8,17.8,0.9,9.5,0.49,29.2,0.85,14.2,0.93,36.9,0.62,13.5,0.51,8.9,0.57,6.1,5.3,0.9,9.0,18.9,1.0,1.0,0.8,1.2,-11.5,19.5,13.92
Claudia Wiktorin,1.0,67.5,11.0,6.5,0.5,6.5,23.0,16.5,5.0,7.0,12.5,5.5,4.5,4.0,62.0,44.5,0.72,29.0,0.66,17.5,13.5,0.78,7.0,0.41,41.5,0.9,10.5,0.91,37.5,0.53,22.0,0.66,8.0,0.43,6.0,5.5,0.92,9.0,14.0,5.0,2.0,1.5,2.5,-5.5,22.0,20.84
Dylan Cannon,0.5,60.25,12.75,6.25,2.0,6.25,27.75,20.25,7.0,10.0,8.5,5.75,1.75,4.5,57.75,33.75,0.6,20.25,0.6,24.0,19.5,0.8,10.75,0.43,30.25,0.8,9.75,0.67,38.5,0.53,16.5,0.62,5.25,0.58,8.25,5.75,0.69,11.5,16.25,5.75,4.25,1.25,3.25,-8.75,20.75,12.02
Jaeda Daniel,0.47,58.69,16.16,7.41,3.88,9.09,31.62,17.47,12.12,7.12,9.34,5.22,1.41,5.78,54.22,31.66,0.59,19.59,0.63,22.56,16.78,0.75,10.38,0.45,28.72,0.83,14.06,0.81,34.78,0.53,14.97,0.56,8.94,0.56,6.09,4.31,0.74,9.62,22.0,3.97,3.16,2.66,3.12,-6.38,26.66,11.75
Lana Mavor,0.86,48.14,9.57,2.86,3.86,3.57,25.0,9.86,14.57,4.0,8.29,4.0,0.71,1.86,45.43,31.0,0.68,19.29,0.64,14.43,12.71,0.87,6.29,0.47,24.0,0.84,12.29,0.96,30.43,0.54,12.29,0.57,5.43,0.52,5.29,4.14,0.75,9.86,15.14,2.43,1.57,0.71,1.14,-11.86,13.86,13.31
Lexi Keberle,0.38,58.43,11.1,6.9,1.57,5.19,24.95,13.48,10.76,4.67,8.95,5.05,0.67,1.1,53.14,37.33,0.7,22.86,0.62,15.81,14.76,0.93,8.14,0.52,27.62,0.82,14.52,0.9,31.48,0.57,15.29,0.55,11.67,0.52,6.14,4.81,0.79,8.76,16.19,2.67,2.0,0.67,0.43,-8.67,16.95,16.09
Liz Norman,0.55,57.45,11.15,6.7,1.7,5.2,30.7,18.75,10.2,5.4,10.1,4.65,1.8,2.85,53.55,27.55,0.52,16.9,0.62,26.0,23.15,0.89,12.75,0.5,28.7,0.83,14.5,0.88,35.15,0.56,13.05,0.49,9.25,0.55,6.25,4.8,0.8,9.25,21.45,2.45,2.95,1.05,1.8,-14.35,18.15,8.79
Marta Gonzalez,0.0,50.5,11.0,5.5,0.75,7.0,28.5,15.25,11.25,13.25,6.25,3.0,2.5,3.75,57.25,28.0,0.49,15.75,0.56,29.25,25.5,0.87,13.0,0.44,30.75,0.84,8.25,0.72,29.75,0.47,10.75,0.37,10.0,0.49,7.0,4.25,0.62,9.75,18.75,5.25,8.0,0.5,3.25,-10.5,20.5,7.76
Nell Miller,1.0,67.67,10.67,2.67,5.67,14.0,23.0,10.0,11.33,12.0,13.0,6.67,3.33,8.33,56.0,31.67,0.57,22.33,0.73,24.33,16.0,0.69,8.67,0.38,34.0,0.88,19.33,0.91,45.33,0.62,12.67,0.44,9.67,0.65,7.67,5.67,0.78,11.67,11.33,6.67,5.33,6.67,1.67,1.67,28.0,12.67
Priska Nugroho,1.0,49.67,17.0,5.33,1.0,8.67,20.33,9.33,8.67,11.33,8.0,2.33,1.67,2.0,52.33,27.0,0.52,18.0,0.67,25.33,23.33,0.93,12.0,0.47,23.33,0.77,14.0,0.89,24.67,0.46,13.67,0.48,11.33,0.53,7.0,5.0,0.75,7.0,13.33,5.33,6.0,1.0,1.0,5.33,27.33,9.49
Sara Nayar,0.0,94.33,18.0,9.33,4.33,18.33,46.0,25.0,20.0,18.67,10.67,6.67,2.33,9.0,96.0,58.0,0.62,36.0,0.59,38.0,29.0,0.76,14.33,0.32,40.33,0.79,21.67,0.74,64.33,0.49,18.33,0.48,11.67,0.54,8.33,5.67,0.62,12.33,33.67,6.67,12.0,3.0,6.0,-9.67,38.67,21.72
Sophie Abrams,1.0,62.67,18.33,5.0,4.0,2.33,40.67,23.67,12.33,2.33,8.33,3.33,0.67,4.0,63.33,39.33,0.62,24.67,0.64,24.0,20.0,0.82,11.33,0.45,28.33,0.73,14.0,0.7,35.0,0.45,17.0,0.58,10.67,0.64,8.0,6.33,0.76,14.67,26.0,1.67,0.67,1.67,2.33,-20.0,21.33,15.4
