Date,SGIXSENT,IND1CUE1,IND1CEE1,IND1BTY,IND1CER1,IND1BJB,IND1BARC,SGXQIN01,EWH UP,EWJ UP
2002-03-11,100,1008.743,2202.198,2525.453,560.899,2039.75,100.0029,0.66,N/A,N/A
2002-03-12,99.76,1009.175,2173.996,2528.523,560.731,2045.27,99.9424,0.68,N/A,N/A
2002-03-13,99.47,998.604,2150.345,2538.5,560.058,2046.762,99.6481,0.67,N/A,N/A
2002-03-14,99.17,997.094,2170.481,2512.407,558.882,2051.983,98.8287,0.69,N/A,N/A
2002-03-15,99.42,1006.802,2211.772,2521.233,558.77,2050.044,98.67,0.76,N/A,N/A
2002-03-18,99.67,1007.234,2226.213,2529.674,559.776,2053.624,98.71,0.8,N/A,N/A
2002-03-19,99.84,1013.274,2243.299,2525.453,560.056,2052.878,98.8904,0.7,N/A,N/A
2002-03-20,99.19,994.29,2201.398,2512.407,558.376,2053.475,99.4179,0.76,N/A,N/A
2002-03-21,99.19,994.721,2198.144,2517.395,559.381,N/A,98.8523,0.81,N/A,N/A
2002-03-22,99,991.917,2197.534,2516.244,557.703,2052.133,99.2734,0.84,N/A,N/A
2002-03-25,98.72,980.052,2183.906,2513.942,556.699,2048.552,99.628,0.82,N/A,N/A
2002-03-26,99.16,985.445,2207.907,2525.837,558.814,2051.088,99.1945,0.83,N/A,N/A
2002-03-27,99.15,988.034,2193.466,2527.756,558.982,2055.116,98.789,0.86,N/A,N/A
2002-03-28,99.04,991.701,2195.093,2516.244,557.585,2059.144,98.9152,0.87,N/A,N/A
2002-04-01,99.04,987.602,N/A,2516.628,N/A,2056.757,98.4371,0.81,N/A,N/A
2002-04-02,98.86,981.993,2175.973,2531.593,558.421,2059.443,98.2266,0.73,N/A,N/A
2002-04-03,99.2,975.306,2164.99,2545.407,560.264,2060.487,98.3761,0.63,N/A,N/A
2002-04-04,99.72,971.423,2150.345,2545.79,562.841,2062.426,99.49,0.57,N/A,N/A
2002-04-05,100.05,971.207,2155.226,2559.988,563.46,2062.725,99.5443,0.65,N/A,N/A
2002-04-08,99.53,972.933,2119.428,2554.232,561.488,2064.664,99.0396,0.49,N/A,N/A
2002-04-09,99.53,966.892,2114.14,2559.988,561.937,2060.934,99.1744,0.47,N/A,N/A
2002-04-10,99.76,976.816,2156.04,2556.918,561.319,2064.067,98.615,0.57,N/A,N/A
2002-04-11,99.26,952.654,2122.479,2560.755,563.228,2065.858,99.1419,0.39,N/A,N/A
2002-04-12,99.67,959.558,2120.038,2570.732,562.946,2061.68,100.1882,0.47,N/A,N/A
2002-04-15,99.73,952.87,2140.988,2575.72,564.747,2065.708,99.9375,0.44,N/A,N/A
2002-04-16,100.55,974.874,2183.296,2568.813,561.698,2063.918,100.1085,0.53,N/A,N/A
2002-04-17,100.32,973.364,2175.363,2561.906,560.743,2061.83,99.3437,0.67,N/A,N/A
2002-04-18,100.06,969.05,2150.955,2564.208,561.247,2060.039,98.7556,0.55,N/A,N/A
2002-04-19,100.28,972.286,2159.294,2567.278,560.686,2060.636,98.9796,0.74,N/A,N/A
2002-04-22,99.84,956.322,2135.293,2572.266,562.48,2060.338,99.0799,0.68,N/A,N/A
2002-04-23,99.78,952.007,2124.716,2572.65,561.187,2058.846,99.0687,0.59,N/A,N/A
2002-04-24,99.58,942.084,2112.512,2585.696,563.095,2055.862,98.9355,0.67,N/A,N/A
2002-04-25,99.19,942.731,2060.645,2589.15,565.178,2054.519,98.8584,0.56,N/A,N/A
2002-04-26,98.81,925.041,2043.356,2596.057,566.026,2058.995,98.9501,0.41,N/A,N/A
2002-04-29,98.81,919.001,2039.288,2589.917,563.932,2060.338,98.9294,0.42,N/A,N/A
2002-04-30,99.1,929.572,2058.611,2592.603,564.27,2067.648,99.0196,0.39,N/A,N/A
2002-05-01,99.1,939.279,N/A,2598.743,N/A,2069.14,99.2958,0.54,N/A,N/A
2002-05-02,99.08,935.828,2027.695,2588.766,562.182,2069.14,99.5034,0.4,N/A,N/A
2002-05-03,99.08,925.904,1996.981,2599.51,565.949,2068.99,99.5503,0.42,N/A,N/A
2002-05-06,99.08,907.567,2001.456,2596.44,564.987,N/A,99.6868,0.41,N/A,N/A
2002-05-07,98.15,903.9,1992.303,2599.126,565.552,2071.676,99.4912,0.24,N/A,N/A
2002-05-08,99.13,937.553,2048.238,2574.952,562.894,2069.289,99.0892,0.36,N/A,N/A
2002-05-09,98.71,926.767,2027.898,2582.627,561.599,2070.333,99.6149,0.51,N/A,N/A
2002-05-10,98.02,909.509,1981.116,2595.673,562.217,2070.781,99.3256,0.33,N/A,N/A
2002-05-13,98.78,928.061,2031.966,2580.324,561.092,2071.228,99.0439,0.43,N/A,N/A
2002-05-14,99.13,947.908,2057.188,2565.36,559.185,2072.422,98.4372,0.49,N/A,N/A
