Year,SGIXSENT,IND1CUE1,IND1CEE1,IND1BTY,IND1CER1,IND1BJB,IND1BARC,SGXQIN01,EWH UP,EWJ UP
2006,145.89884462151394,1102.664378486056,2170.403322580645,3034.4954479999997,694.350056451613,2189.650726141079,216.0151868,0.6067330677290836,,55.20509960159362
2007,157.76482071713147,1200.8930039840636,2656.4201910569104,3082.881261044177,672.623475609756,2241.7711882845188,265.88731513944225,0.46386454183266934,,57.00892430278884
2008,161.1213438735178,967.7428221343874,2120.3108306451613,3415.440988142292,685.070310483871,2309.926037974684,326.5461260869565,0.4359288537549407,,45.88834782608696
2009,163.98924603174603,754.4220119047619,1665.6103145161292,3695.781765873016,741.3939072580646,2336.4786936170212,385.35117261904765,0.597420634920635,,36.804793650793656
2010,186.04742063492063,922.2638412698414,2046.035468,3913.9129682539683,807.112648,2412.4307172995777,417.08934523809523,0.5565079365079365,,40.072698412698415
2011,206.43210317460318,1042.2126785714286,2157.8047171314743,4173.865484126984,853.6089442231075,2455.863417721519,459.40069801587305,0.4508333333333333,,40.439365079365075
2012,228.87439999999998,1155.4819,2224.4126571428574,4539.36462,992.9140161943319,2522.3881848739497,465.6774496,0.5854400000000001,,37.435840000000006
2013,238.92642857142857,1399.6460595238098,2685.78836437247,4522.251301587302,1022.5016153846154,2557.4040970464134,480.27149404761906,0.5153968253968254,,45.01428571428571
2014,254.92531746031747,1669.4307738095238,3067.3057845528456,4574.662539682539,1121.5411862348178,2623.2853940677965,494.5307452380952,0.47865079365079366,20.54,46.37603174603175
2015,273.66289682539684,1808.747996031746,3517.1767056451613,4760.679238095238,1264.8239112903227,2685.4858728813556,530.2356829365079,0.47904761904761906,21.515555555555554,49.59460317460317
2016,288.85579365079366,1870.9443968253968,3260.5296334661352,4916.986515873015,1399.9057808764942,2767.5191729957805,579.4264456349206,0.4996428571428571,20.00142857142857,47.54519841269841
2017,307.52147410358566,2210.2145776892435,3975.7372016129034,4825.815302788845,1430.7241975806453,2762.318925,629.0799107569721,0.5877689243027888,23.54875816733068,54.30986772908366
2018,312.1731474103586,2474.851804780876,3921.9259024390244,4671.47978313253,1467.6265487804878,2778.234457627119,664.8814083665338,0.4483266932270916,24.492908366533864,58.63043824701195
2019,342.7609920634921,2610.0864404761905,3877.272069387755,4917.784792,1663.193987854251,2828.7754721030046,693.0505043650793,0.5958730158730159,24.645753968253967,55.52269841269841
2020,369.2779841897233,2888.083719367589,3958.0740766129034,5323.809725099602,1751.5066411290322,2805.360544680851,792.5311019762846,0.5994466403162055,22.324505928853757,57.07422924901186
2021,390.7341666666666,3876.447571428572,4903.155634538152,5236.254804780877,1735.768168,2801.8885485232067,896.1602265873016,0.4852777777777778,25.799126984126985,68.81269841269841
