datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw
8/1/19 0:00,RFC,MIDATL,AE,AECO,1265.191
8/1/19 1:00,RFC,MIDATL,AE,AECO,1174.354
8/1/19 2:00,RFC,MIDATL,AE,AECO,1111.713
8/1/19 3:00,RFC,MIDATL,AE,AECO,1086.056
8/1/19 4:00,RFC,MIDATL,AE,AECO,1094.492
8/1/19 5:00,RFC,MIDATL,AE,AECO,1120.194
8/1/19 6:00,RFC,MIDATL,AE,AECO,1163.491
8/1/19 7:00,RFC,MIDATL,AE,AECO,1231.402
8/1/19 8:00,RFC,MIDATL,AE,AECO,1320.67
8/1/19 9:00,RFC,MIDATL,AE,AECO,1420.395
8/1/19 10:00,RFC,MIDATL,AE,AECO,1520.502
8/1/19 11:00,RFC,MIDATL,AE,AECO,1642.89
8/1/19 12:00,RFC,MIDATL,AE,AECO,1738.087
8/1/19 13:00,RFC,MIDATL,AE,AECO,1822.725
8/1/19 14:00,RFC,MIDATL,AE,AECO,1906.246
8/1/19 15:00,RFC,MIDATL,AE,AECO,1974.917
8/1/19 16:00,RFC,MIDATL,AE,AECO,1977.028
8/1/19 17:00,RFC,MIDATL,AE,AECO,1957.01
8/1/19 18:00,RFC,MIDATL,AE,AECO,1871.537
8/1/19 19:00,RFC,MIDATL,AE,AECO,1820.133
8/1/19 20:00,RFC,MIDATL,AE,AECO,1764.777
8/1/19 21:00,RFC,MIDATL,AE,AECO,1681.706
8/1/19 22:00,RFC,MIDATL,AE,AECO,1542.707
8/1/19 23:00,RFC,MIDATL,AE,AECO,1381.197
8/2/19 0:00,RFC,MIDATL,AE,AECO,1250.34
8/2/19 1:00,RFC,MIDATL,AE,AECO,1164.72
8/2/19 2:00,RFC,MIDATL,AE,AECO,1104.754
8/2/19 3:00,RFC,MIDATL,AE,AECO,1049.701
8/2/19 4:00,RFC,MIDATL,AE,AECO,1033.236
8/2/19 5:00,RFC,MIDATL,AE,AECO,1066.161
8/2/19 6:00,RFC,MIDATL,AE,AECO,1125.456
8/2/19 7:00,RFC,MIDATL,AE,AECO,1179.343
8/2/19 8:00,RFC,MIDATL,AE,AECO,1262.593
8/2/19 9:00,RFC,MIDATL,AE,AECO,1339.057
8/2/19 10:00,RFC,MIDATL,AE,AECO,1444.885
8/2/19 11:00,RFC,MIDATL,AE,AECO,1548.074
8/2/19 12:00,RFC,MIDATL,AE,AECO,1608.689
8/2/19 13:00,RFC,MIDATL,AE,AECO,1673.838
8/2/19 14:00,RFC,MIDATL,AE,AECO,1753.158
