match_id,player,opponent,season,match_result,indoors,total_points_won,winners,forehand_winner,backhand_winner,errors_forced,unforced_errors,unforced_errors_forehand,unforced_errors_backhand,forced_errors_by_opponent,break_points_total,break_points_won,aces,double_faults,total_serves,first_serves_in,first_serve_in_percentage,first_serves_won,first_serves_won_percentage,total_second_serves,second_serves_in,second_serves_in_percentage,second_serves_won,second_serves_won_percentage,first_serve_returns,first_serve_returns_percentage,second_serve_returns,second_serve_returns_percentage,short_rallies_won,short_rallies_won_percentage,medium_rallies_won,medium_rallies_won_percentage,long_rallies_won,long_rallies_won_percentage,service_games_total,service_games_won,service_games_won_percentage,unforced_errors_net,unforced_errors_long,forced_errors_by_opponent_net,forced_errors_by_opponent_long,double_faults_error_net,double_faults_error_long,aggressive_error_margin_1,aggressive_error_margin_2,first_serve_performance
62150d674500004a00cc8886,Priska Nugroho,Ansari,22,Incomplete,True,55,9,5,1,11,20,12,6,13,13,3,1,4,56,24,0.43,14,0.58,32,28,0.88,16,0.5,26,0.84,11,0.79,33,0.49,12,0.52,10,0.53,8,5,0.62,7,13,4,9,3,1,0,-3,6.0
6217b1084200004b002ff9b4,Priska Nugroho,Vidmanova,22,Win,True,60,32,8,1,3,22,10,8,4,11,4,4,1,50,27,0.54,22,0.81,23,22,0.96,12,0.52,25,0.81,17,0.94,23,0.51,17,0.53,20,0.8,5,5,1.0,6,16,3,1,0,1,13,16,11.88
6218fc1f420000650a2ff9f0,Priska Nugroho,Tran,22,Loss,True,34,10,3,1,12,19,6,12,17,0,0,0,1,51,30,0.59,18,0.6,21,20,0.95,8,0.38,19,0.68,14,0.93,18,0.38,12,0.38,4,0.27,8,5,0.62,8,11,9,8,0,1,3,2,10.59
62150dc64500004900cc8887,Nell Miller,Flach,22,Win,True,58,5,3,2,16,17,7,9,9,11,7,5,5,44,28,0.64,20,0.71,16,11,0.69,6,0.38,20,0.91,23,0.88,44,0.68,9,0.36,5,0.83,8,5,0.62,11,6,5,4,5,0,4,4,12.73
6217b1d642000033002ff9b6,Nell Miller,Hertel,22,Win,True,58,13,3,7,6,22,7,13,2,10,5,4,4,41,21,0.51,18,0.86,20,16,0.8,10,0.5,25,0.78,14,1.0,41,0.64,9,0.47,8,0.73,5,5,1.0,12,10,1,1,3,1,-3,-3,9.22
6218fc8742000034002ff9f1,Nell Miller,Crawley,22,Incomplete,True,87,14,2,8,20,30,16,12,25,18,8,1,16,83,46,0.55,29,0.63,37,21,0.57,10,0.27,57,0.95,21,0.84,51,0.54,20,0.49,16,0.39,10,7,0.7,12,18,14,11,12,4,4,-11,16.07
62150dfd4500004a00cc8888,Sophie Abrams,Axon,22,Win,True,55,17,4,7,0,25,12,10,1,11,5,2,3,47,26,0.55,19,0.73,21,18,0.86,11,0.52,25,0.83,12,0.75,35,0.56,14,0.64,6,0.6,8,7,0.88,11,14,1,0,1,2,-8,-9,10.51
6218fd4242000033002ff9f2,Sophie Abrams,Tanguilig,22,Loss,True,54,20,7,3,1,41,28,11,1,5,2,0,4,62,45,0.73,26,0.58,17,13,0.76,5,0.29,22,0.65,10,0.56,30,0.39,13,0.46,11,0.79,6,3,0.5,12,29,1,0,2,2,-20,-24,18.87
621cedd74300005c72219d83,Sophie Abrams,Coppoc,22,Win,True,79,18,4,2,6,56,31,16,5,9,3,0,5,81,47,0.58,29,0.62,34,29,0.85,18,0.53,38,0.72,20,0.8,40,0.41,24,0.65,15,0.54,10,9,0.9,21,35,3,2,2,3,-32,-37,16.83
6140be1e42000090d43825ae,Sara Nayar,Anna Brylin,22,Win,False,64,17,6,6,17,16,5,10,17,9,6,1,6,63,40,0.63,27,0.68,23,17,0.74,5,0.22,24,0.77,16,0.84,41,0.53,14,0.48,9,0.64,5,3,0.6,3,13,6,11,2,4,18,13,17.14
6140c0004200008fd43825b4,Sara Nayar,Amelia Rajecki,22,Loss,False,168,27,19,5,38,81,51,29,38,12,9,6,16,168,98,0.58,65,0.66,70,54,0.77,32,0.46,70,0.71,37,0.69,125,0.5,28,0.5,15,0.5,12,12,1.0,22,59,14,24,5,11,-16,-26,37.92
6140c00342000090d43825b6,Sara Nayar,Cassie Wooten,22,Loss,False,51,10,3,2,0,41,19,21,1,11,5,0,5,57,36,0.63,16,0.44,21,16,0.76,6,0.29,27,0.87,12,0.71,27,0.44,13,0.46,11,0.48,8,2,0.25,12,29,0,1,2,3,-31,-36,10.11
6032c408420000f22117d8d6,Amelia Rajecki,Wooten,21,Win,True,100,29,14,1,0,70,45,20,0,8,4,0,6,102,62,0.61,42,0.68,40,34,0.85,18,0.45,49,0.8,35,0.92,55,0.5,29,0.47,16,0.53,6,6,1.0,39,31,0,0,2,4,-41,-47,25.53
603311d34200009db717d8ea,Amelia Rajecki,Daria Kuczer,21,Loss,True,82,15,8,0,0,58,42,16,1,9,4,6,4,87,54,0.62,32,0.59,33,29,0.88,16,0.48,48,0.83,18,0.86,45,0.49,20,0.48,17,0.49,12,7,0.58,24,34,1,0,0,4,-43,-41,19.86
613f813d420000186838259a,Amelia Rajecki,Jaeda Daniel,22,Loss,False,108,12,7,5,32,54,35,18,32,13,7,1,9,108,61,0.56,38,0.62,47,38,0.81,23,0.49,43,0.7,29,0.76,78,0.5,22,0.5,8,0.5,10,9,0.9,15,39,14,18,5,4,-10,-18,21.46
6140be2042000093d43825af,Amelia Rajecki,Peyton Pesavento,22,Win,False,58,11,6,1,8,39,24,13,1,9,3,1,5,53,36,0.68,28,0.78,17,12,0.71,10,0.59,18,0.56,13,0.65,38,0.5,15,0.62,5,0.83,10,9,0.9,17,22,1,0,3,2,-20,-24,19.02
62150e2a4500004a00cc8889,Amelia Rajecki,Chen,22,Loss,True,44,5,3,1,1,39,22,15,2,5,1,7,7,57,28,0.49,21,0.75,29,22,0.76,10,0.34,16,0.62,15,0.79,31,0.42,8,0.42,5,0.42,5,5,1.0,12,27,1,1,5,2,-33,-33,10.32
6217b3f342000034002ff9b8,Amelia Rajecki,Kowalski,22,Loss,True,64,19,9,0,14,65,32,29,5,10,6,2,8,78,44,0.56,26,0.59,34,26,0.76,10,0.29,37,0.88,22,0.88,29,0.41,12,0.48,23,0.44,5,4,0.8,23,42,3,2,5,3,-32,-38,14.67
6218fdaa4200004b002ff9f3,Amelia Rajecki,Anika Yarlagadda,22,Loss,True,82,18,10,3,29,51,36,15,22,11,4,9,11,88,45,0.51,35,0.78,43,32,0.74,13,0.3,52,0.84,18,0.82,47,0.47,14,0.37,21,0.62,11,6,0.55,15,36,9,13,5,6,-4,-6,17.9
604f85de430000166386b5be,Abigail Rencheli,Marti,21,Win,False,64,26,7,5,0,41,19,14,0,8,7,0,2,60,30,0.5,16,0.53,30,28,0.93,15,0.5,23,0.79,21,0.91,29,0.48,20,0.59,15,0.68,6,4,0.67,15,26,0,0,0,2,-15,-17,8.0
604f8903430000366386b5c7,Abigail Rencheli,Carol Lee,21,Loss,False,83,25,7,5,20,55,26,27,11,10,5,1,7,86,43,0.5,26,0.6,43,36,0.84,17,0.4,51,0.85,19,0.83,34,0.4,23,0.48,26,0.63,11,5,0.45,22,33,5,6,2,5,-10,-16,13.0
6058b5304500000abd7c613e,Abigail Rencheli,Maria Ross,21,Win,True,62,15,11,1,3,38,14,20,0,7,6,2,2,59,36,0.61,24,0.67,23,21,0.91,11,0.48,23,0.85,15,0.83,39,0.55,12,0.5,11,0.73,6,5,0.83,12,26,0,0,0,2,-20,-20,14.64
6058b8f2450000ada37c6149,Abigail Rencheli,Kozyreva,21,Win,False,64,18,8,3,0,32,14,16,0,11,7,0,1,49,25,0.51,16,0.64,24,23,0.96,13,0.54,20,0.8,24,0.92,31,0.55,22,0.71,11,0.65,6,6,1.0,14,18,0,0,1,0,-14,-15,8.16
6070d392450000c52cfd24c5,Abigail Rencheli,Elizabet Danailova,21,Win,False,53,8,5,3,12,18,10,8,8,11,6,3,3,44,23,0.52,14,0.61,21,18,0.86,11,0.52,22,0.73,16,0.89,45,0.57,2,0.29,6,0.86,8,6,0.75,4,14,4,4,1,2,2,2,7.32
607392b74600001fe320179a,Abigail Rencheli,O'dell,21,Win,False,50,19,5,8,0,32,13,17,0,7,5,0,1,43,22,0.51,14,0.64,21,20,0.95,12,0.57,11,0.58,18,0.86,28,0.52,15,0.71,7,0.58,7,5,0.71,11,21,0,0,0,1,-13,-14,7.16
611d1a61410000ae020b8127,Abigail Rencheli,Kezuka,21,Win,False,54,17,6,4,18,14,10,2,13,9,5,0,2,46,28,0.61,21,0.75,18,16,0.89,10,0.56,21,0.78,9,0.64,38,0.58,10,0.59,6,0.67,4,4,1.0,8,6,4,9,2,0,21,19,12.78
613f7f5c4200000768382599,Abigail Rencheli,Jaeda Daniel,22,Loss,False,92,12,5,6,15,53,34,19,15,14,8,1,11,92,50,0.54,33,0.66,42,31,0.74,13,0.31,35,0.7,24,0.77,69,0.5,14,0.5,9,0.5,9,7,0.78,17,36,3,12,2,9,-26,-36,17.93
6140bc3d42000090d43825ac,Abigail Rencheli,Maryam Ahmad,22,Win,False,59,15,5,8,6,18,6,12,7,9,6,0,4,44,28,0.64,23,0.82,16,12,0.75,5,0.31,18,0.72,21,0.81,47,0.58,9,0.69,3,1.0,5,5,1.0,6,12,6,1,1,3,3,-1,14.64
